"|","|__ageData__hunger","|__ageData__military","|__ageData__population","|__ageData__science","|__ageData__security","|__ageData__time","|__numAI","|__numMans"
"e4a70a2f-fe80-4721-a014-74471da03c62","0.3","0","0.133","0","0.6","60","1","1"
"e510f626-26fc-4ae3-a95f-ed1dbe0d9138","0.74","0.74","0.237","0.48","0.6","46.59999999999981","0","0"
"","0.32","0.15","0.307","0.02","0.6","40.09999999999972","",""
"e8c89e1d-6ede-4520-9f77-1025a19fbf27","0.68","0.68","0.234","0.36","0.6","43.99999999999977","0","1"
"","0.26","0.01","0.287","0.02","0.6","35.39999999999965","",""
"","0.04","0.01","0.257","0.2","0.6","50.89999999999987","",""
"f49c3f1b-c992-4cdc-bcf2-fbcc2629af77","","","","","","","0","0"
"fb4c2aa5-a92e-4aec-a723-a9facf1c2ac0","0.9","0.9","0.245","0.8","0.6","54.49999999999992","0","1"
"","0.72","0.73","0.336","0.46","0.6","52.09999999999989","",""
"","0.52","0.3","0.323","0.02","0.6","11.899999999999391","",""
"","0.58","0.5","0.051","0.1","0.6","34.299999999999635","",""
"","0.4","0.1","0.031","0.4","0.6","47.599999999999824","",""
"fcef7c51-30af-4830-9c9b-8bc4190f20b9","0.5","0.8","0.24","0.6","0.6","50.09999999999986","0","1"
"","0.4","0.53","0.326","0.06","0.6","48.09999999999983","",""
"","0.525","0.47","0.408","0.02","0.6","51.39999999999988","",""
"","0.425","0.5","0.165","0.1","0.8","43.59999999999977","",""
"","0.45","0.01","0.145","0.4","0.8","48.299999999999834","",""
